name,calories,total_fat
Cornstarch,381,0.1
"Nuts, pecans",691,72
"Eggplant, raw",25,0.2
"Teff, uncooked",367,2.4
"Sherbet, orange",144,2
"Cauliflower, raw",25,0.3
"Taro leaves, raw",42,0.7
"Lamb, raw, ground",282,23
"Cheese, camembert",300,24
Vegetarian fillets,290,18
"PACE, Picante Sauce",25,0
"Goji berries, dried",349,0.4
"Mango nectar, canned",51,0.1
"Crackers, rusk toast",407,7.2
"Chicken, boiled, feet",215,15
"Quail, raw, meat only",134,4.5
"Pie, lemon, fried pies",316,16
"Peppers, raw, jalapeno",29,0.4
"Winged bean tuber, raw",148,0.9
"Salami, turkey, cooked",172,9.2
"Grapes, raw, muscadine",57,0.5
"Nuts, raw, ginkgo nuts",182,1.7
"Spices, ground, savory",272,5.9
"Candies, sesame crunch",516,33
"Cheese, low fat, cream",201,15
"PACE, Green Taco Sauce",25,0
"Syrup, Canadian, maple",270,0
"Ostrich, raw, top loin",119,3
"Chewing gum, sugarless",268,0.4
"Nuts, dried, pine nuts",673,68
"Pasta, unenriched, dry",371,1.5
"McDONALD'S, Side Salad",20,0.2
"Cookies, Marie biscuit",406,11
"Broccoli, raw, chinese",30,0.8
"McDONALD'S, Hash Brown",271,16
"Agave, raw (Southwest)",68,0.2
"Emu, raw, outside drum",103,0.5
"Nuts, dried, beechnuts",576,50
"Currants, dried, zante",283,0.3
"Lentils, raw, sprouted",106,0.6
"Gravy, mix, dry, onion",322,3
"Pie, fruit, fried pies",316,16
"Snacks, cakes, popcorn",384,3.1
"Snack, Mixed Berry Bar",383,11
"Fish, raw, sheepshead",108,2.4
"Babyfood, pear, juice",47,0
"Brussels sprouts, raw",43,0.3
"Broccoli raab, cooked",33,0.5
"Butter oil, anhydrous",876,99
"Chicory, raw, witloof",17,0.1
"KEEBLER, Waffle Cones",424,5.3
"KEEBLER, Waffle Bowls",424,5.3
"Broccoli, raw, leaves",28,0.4
"Durian, raw or frozen",147,5.3
"Tomatoes, raw, orange",16,0.2
"Tomatoes, raw, yellow",15,0.3
"Egg custards, dry mix",410,6.4
"Peanut flour, low fat",428,22
"Fish, smoked, haddock",116,1
"DENNY'S, french fries",282,14
"Ground turkey, cooked",203,10
"MURRAY, Vanilla Wafer",461,17
"WENDY'S, french fries",301,14
"Bread, toasted, wheat",313,4.3
"Danish pastry, cheese",374,22
"Nuts, glazed, walnuts",500,36
"Spices, garlic powder",331,0.7
"Oil, soybean lecithin",763,100
"Egg, fresh, raw, yolk",322,27
"Fireweed, raw, leaves",103,2.7
"Beef, pastrami, cured",147,5.8
"Frankfurter, meatless",233,14
"Emu, raw, flat fillet",102,0.7
"Emu, raw, inside drum",108,1.5
"Ice creams, chocolate",216,11
"Snacks, potato sticks",522,34
"USDA Commodity, salsa",36,0.2
"Figs, uncooked, dried",249,0.9
"Game meat, raw, horse",133,4.6
"Syrup, fruit flavored",261,0
"Broccoli, raw, stalks",28,0.4
"Cream, cultured, sour",198,19
"Gravy, canned, au jus",16,0.2
"McDONALD'S, Hamburger",264,10
"Cheese, port de salut",352,27
SILK Original Creamer,100,6.7
SILK Hazelnut Creamer,133,6.7
"Soup, mix, dry, onion",293,0.3
"Mushrooms, raw, enoki",37,0.3
Bacon and beef sticks,517,44
"Salami, pork, Italian",425,37
"Crackers, whole-wheat",427,14
"Peanuts, raw, spanish",570,50
"Hominy, white, canned",72,0.9
"Game meat, raw, moose",102,0.7
"Pears, red anjou, raw",62,0.1
"Horseradish, prepared",48,0.7
"Fish, raw, butterfish",146,8
"Lebanon bologna, beef",172,10
Ham and cheese spread,245,19
"TACO BELL, Taco Salad",170,9.2
"Sauce, worcestershire",78,0
"Candies, marshmallows",318,0.2
"Hummus, home prepared",177,8.6
Horned melon (Kiwano),44,1.3
Ice cream sundae cone,254,14
"Peppers, raw, serrano",32,0.4
"Cabbage, cooked, napa",12,0.2
"Peppers, dried, ancho",281,8.2
"Parsley, freeze-dried",271,5.2
"Spices, black, pepper",251,3.3
"Spices, white, pepper",296,2.1
"Yambean (jicama), raw",38,0.1
"Nuts, dried, pilinuts",719,80
"Kiwifruit, raw, green",61,0.5
"Drumstick leaves, raw",64,1.4
"Yautia (tannier), raw",98,0.4
"Candies, butterscotch",391,3.3
"Cucumber, raw, peeled",12,0.2
"Dandelion greens, raw",45,0.7
"Melons, raw, honeydew",36,0.1
